census_geoid,per_access
101,0.8945909070903569
102,1.0
103,0.989935551149833
104,0.8246039759373489
105,0.622074600083992
106,0.7907568523859148
107,0.990576719902593
108,0.9431702437249909
109,1.0
110,0.9069769264530692
111,0.9863248998016778
112,1.0
164,1.0
201,0.9269299431413623
202,0.7463326694095925
203,0.7971257820151506
204,0.9288859757416859
205,0.954941936252784
206,0.7699075945440359
207,0.829271292657577
208,0.8742342685657124
209,0.8137453043650184
210,0.47050436782695687
211,0.7302770398481974
212,0.5123880446814935
226,0.0
227,1.0
228,0.04596233641876796
301,0.9644968021122814
302,0.716930045513607
303,0.872925010783166
304,0.8825487863344994
305,0.8079530582909613
306,0.8128729861947084
307,0.6919333707654876
308,0.7629927102885329
309,0.705776395982925
310,0.6902144885165715
311,0.592012671573202
312,0.6083320251861929
313,0.7650479950395969
314,0.49340422048017685
315,0.6020784305558448
316,0.833268648606691
317,0.5068612724953947
318,0.6776310203311477
355,0.015091342335186657
356,0.0017531556802244039
401,0.5754271212160854
402,0.5935661638079494
403,0.5958359404961346
404,0.618913053734019
405,0.6905003361401989
406,0.6844003897285589
407,0.7311271342605691
408,0.5778334840141366
409,0.650059954357328
410,0.5541905216284987
411,0.6471360173063769
412,0.6631087444614437
413,0.3752885170225043
414,0.8573814120962271
480,0.0
481,0.013015717092337918
482,0.2944184064763528
483,
484,0.0023856226475110005
501,0.6129820190641248
502,0.6216375831376464
503,0.5413060242450415
595,0.020963437783707944
